Product Name,Current Price,Discount
"REDMI 12 (Jade Black, 128 GB)","₹9,020",43% off
"REDMI A5 (Jaisalmer Gold, 128 GB)","₹7,499",25% off
"REDMI A3X (Ocean Green, 128 GB)","₹6,999",36% off
"REDMI A5 (Just Black, 128 GB)","₹7,499",25% off
"REDMI A3X (Midnight Black, 64 GB)","₹5,999",40% off
"REDMI A3X (Olive Green, 128 GB)","₹6,999",36% off
"REDMI Note 14 SE 5G (Titan Black, 128 GB)","₹14,999",25% off
"REDMI 13 5G (Orchid Pink, 128 GB)","₹12,278",31% off
"REDMI A5 (Pondicherry Blue, 128 GB)","₹7,499",25% off
"REDMI A5 (Pondicherry Blue, 64 GB)","₹6,499",27% off
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹14,999",25% off
"REDMI A3X (Midnight Black, 128 GB)","₹6,999",36% off
"REDMI 13 5G (Black Diamond, 128 GB)","₹12,724",36% off
"REDMI A5 (Just Black, 64 GB)","₹6,499",27% off
"REDMI A3X (Ocean Green, 64 GB)","₹5,999",40% off
"REDMI A5 (Jaisalmer Gold, 64 GB)","₹6,499",27% off
"REDMI 14C 5G (Starlight Blue, 128 GB)","₹10,289",26% off
"REDMI Note 14 5G (Titan Black, 256 GB)","₹19,689",21% off
"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹12,490",30% off
"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹12,850",35% off
"REDMI Note 14 5G (Phantom Purple, 128 GB)","₹17,290",24% off
"REDMI Note 14 SE 5G (Mystique White, 128 GB)","₹14,999",25% off
"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹12,499",30% off
"REDMI Note 14 Pro+ 5G (Titan Black, 128 GB)","₹27,999",20% off
